timestamp,close,high,low,open,volume,price,position,cash,value,action,action_label,ret,total_profit
2025-01-02 00:00:00,243.85,249.1,241.82,248.93,55740731.0,243.85,0,100000.0,100000.0,1,HOLD,0.0,0.0
2025-01-03 00:00:00,243.36,244.18,241.89,243.36,40244114.0,243.36,0,100000.0,100000.0,1,HOLD,0.0,0.0
2025-01-06 00:00:00,245.0,247.33,243.2,244.31,45045600.0,245.0,0,100000.0,100000.0,2,BUY,-9.995999999899226e-05,-0.009995999999999186
2025-01-07 00:00:00,242.21,245.55,241.35,242.98,40856000.0,242.21,408,30.004000000000815,99990.004,0,SELL,-0.011483169537512028,-1.1581981679999882
2025-01-08 00:00:00,242.7,243.71,240.05,241.92,37628940.0,242.7,0,98841.80183200001,98841.80183200001,1,HOLD,0.0,-1.1581981679999882
2025-01-10 00:00:00,236.85,240.16,233.0,240.01,61710900.0,236.85,0,98841.80183200001,98841.80183200001,1,HOLD,0.0,-1.1581981679999882
2025-01-13 00:00:00,234.4,234.67,229.72,233.53,49630725.0,234.4,0,98841.80183200001,98841.80183200001,1,HOLD,0.0,-1.1581981679999882
2025-01-14 00:00:00,233.28,236.12,232.47,234.75,39435300.0,233.28,0,98841.80183200001,98841.80183200001,1,HOLD,0.0,-1.1581981679999882
2025-01-15 00:00:00,237.87,238.96,234.43,234.64,39832000.0,237.87,0,98841.80183200001,98841.80183200001,1,HOLD,0.0,-1.1581981679999882
2025-01-16 00:00:00,228.26,238.01,228.03,237.35,71759100.0,228.26,0,98841.80183200001,98841.80183200001,1,HOLD,0.0,-1.1581981679999882
2025-01-17 00:00:00,229.98,232.29,228.48,232.12,68488301.0,229.98,0,98841.80183200001,98841.80183200001,1,HOLD,0.0,-1.1581981679999882
2025-01-21 00:00:00,222.64,224.42,219.38,224.0,98070429.0,222.64,0,98841.80183200001,98841.80183200001,1,HOLD,0.0,-1.1581981679999882
2025-01-22 00:00:00,223.83,224.12,219.79,219.79,64126500.0,223.83,0,98841.80183200001,98841.80183200001,1,HOLD,0.0,-1.1581981679999882
2025-01-23 00:00:00,223.66,227.03,222.3,224.74,60234800.0,223.66,0,98841.80183200001,98841.80183200001,1,HOLD,0.0,-1.1581981679999882
2025-01-24 00:00:00,222.78,225.63,221.41,224.78,54697907.0,222.78,0,98841.80183200001,98841.80183200001,1,HOLD,0.0,-1.1581981679999882
2025-01-27 00:00:00,229.86,232.15,223.98,224.02,94863418.0,229.86,0,98841.80183200001,98841.80183200001,2,BUY,-9.97654212805956e-05,-1.1680591619999905
2025-01-28 00:00:00,238.26,240.19,230.81,230.85,75707600.0,238.26,429,222.0008380000072,98831.94083800001,1,HOLD,0.036461896522606556,2.435540838000001
2025-01-29 00:00:00,239.36,239.86,234.01,234.12,45486100.0,239.36,429,222.0008380000072,102435.540838,1,HOLD,0.0046067995164071375,2.9074408380000096
2025-01-30 00:00:00,237.59,240.79,237.21,238.67,55658300.0,237.59,429,222.0008380000072,102907.44083800001,1,HOLD,-0.007378766722884336,2.148110838000008
2025-01-31 00:00:00,236.0,247.19,233.44,247.19,101075128.0,236.0,429,222.0008380000072,102148.11083800001,1,HOLD,-0.006677656536155654,1.4660008380000071
2025-02-03 00:00:00,228.01,231.83,225.7,229.99,73063301.0,228.01,429,222.0008380000072,101466.000838,0,SELL,-0.033878260703843165,-1.9714907910000037
2025-02-04 00:00:00,232.8,233.13,226.65,227.25,45067301.0,232.8,0,98028.509209,98028.509209,1,HOLD,0.0,-1.9714907910000037
2025-02-05 00:00:00,232.47,232.67,228.27,228.53,39664989.0,232.47,0,98028.509209,98028.509209,1,HOLD,0.0,-1.9714907910000037
2025-02-06 00:00:00,233.22,233.8,230.43,231.29,29925349.0,233.22,0,98028.509209,98028.509209,1,HOLD,0.0,-1.9714907910000037
2025-02-07 00:00:00,227.63,234.0,227.26,232.6,39707224.0,227.63,0,98028.509209,98028.509209,1,HOLD,0.0,-1.9714907910000037
2025-02-10 00:00:00,227.65,230.59,227.2,229.57,33115645.0,227.65,0,98028.509209,98028.509209,1,HOLD,0.0,-1.9714907910000037
2025-02-11 00:00:00,232.62,235.23,228.13,228.2,53718400.0,232.62,0,98028.509209,98028.509209,2,BUY,-9.990259036813417e-05,-1.9812840930000093
